Country Name,Country Code,Indicator Name,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Not classified,INX,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,
Ireland,IRL,GDP per capita (current US$),26241.36461,28227.72753,32541.0986,41106.92527,47631.01066,50878.22361,54306.42932,61359.74138,61262.10056,52105.15248,48715.17686,51848.90973,48917.89756,51590.18845,55492.98268,61995.42278,63197.08237,69822.34718,78621.22796,78660.95646
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),1670.00947,1909.412278,1911.678792,2253.936132,2756.198742,3246.051029,3774.357841,4904.666252,5717.314465,5709.94798,6599.660938,7781.406114,7927.846902,6018.324473,5585.526758,4904.326877,5253.424843,5520.310789,,
Iraq,IRQ,GDP per capita (current US$),,,,,1391.963489,1855.522004,2373.214785,3182.947982,4636.610978,3853.940935,4657.280426,6045.495551,6836.027313,7076.554608,6818.804621,4989.803075,4776.726499,5205.288255,5834.166211,5955.10901
Iceland,ISL,GDP per capita (current US$),32018.06368,28793.96075,32326.63824,39423.92801,47367.27817,56658.59267,56673.60244,69054.27079,56409.7731,41333.41853,43024.92349,47516.87469,45910.02055,49522.23659,54241.93466,52564.42919,61466.80397,71310.93925,72968.70423,66944.82551
Israel,ISR,GDP per capita (current US$),21043.57493,20306.93224,18435.89476,18979.32345,19896.81774,20566.64549,21837.37849,24924.33095,29567.80388,27715.63681,30693.59308,33669.24647,32511.23785,36309.46883,37678.88977,35776.79517,37321.62404,40541.86209,41719.72544,43641.39774
Italy,ITA,GDP per capita (current US$),20087.59199,20483.21599,22270.14412,27465.6753,31259.7165,32043.14037,33501.65817,37822.66524,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32406.72032,34520.08516,33189.5658
Jamaica,JAM,GDP per capita (current US$),3384.694861,3431.416469,3599.973172,3469.151565,3725.109093,4089.198442,4321.043327,4633.944386,4917.718398,4316.231053,4704.054455,5111.471413,5209.851931,4989.171391,4833.790318,4907.50372,4843.338474,5069.183838,5354.236859,5582.263778
Jordan,JOR,GDP per capita (current US$),1674.825261,1744.463602,1827.335753,1902.589902,2073.641321,2214.017817,2548.268658,2773.740242,3398.151722,3504.00246,3690.113268,3816.279258,3877.339345,3998.027473,4072.765475,4105.448961,4103.7336,4162.820687,4241.788782,4330.329346
Japan,JPN,GDP per capita (current US$),38532.04088,33846.46564,32289.35054,34808.39092,37688.72234,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38761.81815,38386.51115,39159.42356,40246.88013
Kazakhstan,KAZ,GDP per capita (current US$),1229.000958,1490.92709,1658.030785,2068.124118,2874.288291,3771.278957,5291.57565,6771.414797,8513.564645,7165.223175,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,9247.581331,9812.601405,9731.145207
